ORG_CODE_ID,ORG_NAME,TRANSFER_EVENT_ID,TRANSFER_EVENT_TYPE,TRANSFER_COURSE_NAME,MMU_EVENT_ID,MMU_EVENT_TYPE,MMU_COURSE_NAME
"O000040428","North Iowa Area Community College","OTA410","Lecture","Pediatric Interventions for the OTA","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","PEA187","Lecture","Weight Training I","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","PEA287","Lecture","Weight Training II","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","PEA176","Lecture","Volleyball I","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","PEA154","Lecture","Racquetball I","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","PEA174","Lecture","Tennis I","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","PEA924","Lecture","Honors Project","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","PEC125","Lecture","Athletic Injury Prevention","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","PEC140","Lecture","Theory of Coaching Softball","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","PEC116","Lecture","Athletic Development and Human Growth","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","PEA928","Lecture","Independent Study","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","PEC111","Lecture","Coaching Ethics Techniques and Theory","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","PEA150","Lecture","Powerwalking","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","OTA852","Lecture","Occupational Therapy Assistant Fieldwork","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","OTA854","Lecture","Occupational Therapy Assistant Fieldwork","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","OTA851","Lecture","Occupational Therapist Assistant Fieldwo","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","OTA411","Lecture","Geriatric Interventions for the OTA","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","OTA850","Lecture","Occupational Therapy Assistant Fieldwork","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","OTA924","Lecture","Honors Project","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","PEA134","Lecture","Golf I","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","PEA136","Lecture","Karate/Self Defense I","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","PEA117","Lecture","Bowling I","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","OTA928","Lecture","Independent Study","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","PEA110","Lecture","Badminton I","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","APP220","Lecture","Fashion Show Procedures","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","APP240","Lecture","Fashion Design","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","APP210","Lecture","Apparel Textiles","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","APP130","Lecture","Principles of Fashion Merchandising","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","APP140","Lecture","Fashion History","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","APP280","Lecture","Apparel Manufacturing","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","ART120","Lecture","2-D Design","AR 103","Lecture","Design"
"O000040428","North Iowa Area Community College","ART123","Lecture","3-D Design","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","ART101","Lecture","Art Appreciation","AR 101","Lecture","Introduction To Art"
"O000040428","North Iowa Area Community College","APP924","Lecture","Honors Project","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","APP928","Lecture","Independent Study","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","APP120","Lecture","Apparel Visual Merchandising","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGV203","Lecture","Pet Grooming III","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGV204","Lecture","Pet Grooming IV","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGV202","Lecture","Pet Grooming II","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGV179","Lecture","Lab Animal Medicine","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGV201","Lecture","Pet Grooming I","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AGV924","Lecture","Honors Project","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","ANT924","Lecture","Honors Project","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","ANT928","Lecture","Independent Study","OT","Lecture","Generic Course"
